Open Date;Close Date;Symbol;Action;Lots;SL;TP;Open Price;Close Price;Commission;Swap;Pips;Profit;Gain;Duration (DD:HH:MM:SS);Profitable(%);Profitable(time duration);Drawdown;Risk:Reward;Max(pips);Max(USD);Min(pips);Min(USD);Entry Accuracy(%);Exit Accuracy(%);ProfitMissed(pips);ProfitMissed(USD)
04/24/2018 21:00;04/24/2018 22:49;EUR/USD;Buy;2.28;0;0;1.2233;1.22332;-11.16;-84.59;0;-91.18;;;;;;;;;;;;;;
04/24/2018 21:01;04/24/2018 21:46;GBP/AUD;Buy;3.03;0;0;1.83763;1.83828;-16.94;0;0;132.79;;;;;;;;;;;;;;
04/24/2018 03:15;04/24/2018 07:53;GBP/USD;Sell;2.92;0;0;1.3936;1.39366;-16.28;0;0;-33.8;;;;;;;;;;;;;;
04/24/2018 00:00;04/24/2018 02:12;EUR/USD;Sell;2.92;0;0;1.22096;1.21895;-14.25;0;0;572.67;;;;;;;;;;;;;;
04/23/2018 20:55;04/24/2018 01:01;GBP/USD;Sell;0.6;0;0;1.39446;1.39374;-3.35;-5.7;0;34.15;;;;;;;;;;;;;;
04/20/2018 02:30;04/23/2018 10:42;USD/JPY;Buy;0.19;0;0;107.67;108.188;-0.76;-0.07;0;90.14;;;;;;;;;;;;;;
04/17/2018 21:00;04/23/2018 09:39;EUR/USD;Sell;2.16;0;0;1.23722;1.22497;-10.64;16.85;0;2652.21;;;;;;;;;;;;;;
04/23/2018 01:30;04/23/2018 05:45;GBP/USD;Sell;2.92;0;0;1.40148;1.4015;-16.37;0;0;-22.21;;;;;;;;;;;;;;
04/20/2018 21:30;04/23/2018 00:01;EUR/GBP;Sell;0.6;0;0;0.87702;0.87678;-2.95;-6.98;0;10.24;;;;;;;;;;;;;;
04/22/2018 22:05;04/22/2018 23:45;GBP/USD;Buy;2.28;0;0;1.39987;1.40052;-12.77;0;0;135.43;;;;;;;;;;;;;;
03/05/2018 08:00;;;Deposit;0;0;0;0;0;0;0;0;150000;;;;;;;;;;;;;;
